編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQPMLMKNHPFFAU17CA,民意段,10.60,都市：住,持分移轉
RPPNMLOKNHPFFAU07CA,慶豐段,81.00,都市：住,全筆移轉
RPQOMLTJOHPFFAU77CA,德安段,122.96,都市：住,全筆移轉
RPUNMLOJOHPFFAU57CA,豐東段,5187.65,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPQMLOJOHPFFAU37CA,富國段,8.40,都市：住,持分移轉
RPROMLLKOHPFFAU17CA,佳民段,2622.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPROMLTJOHPFFAU87CA,德安段,268.00,都市：住,全筆移轉
RPTNMLNKNHPFFAU37CA,民孝段,41.35,都市：住,持分移轉
RPRNMLPJOHPFFBU47CA,阿托莫段,824.86,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPOOMLNKNHPFFAU17EA,德姆南段,3215.57,非都市：山坡地保育區 ; 非都市編定：林業用地,全筆移轉
RPPPMLMKNHPFFAU07CA,主商段,13.64,都市：商,持分移轉
RPQOMLMKNHPFFAU07CA,嘉平段,97.00,都市：住,全筆移轉
RPOPMLMKNHPFFAU96CA,主商段,13.66,都市：商,持分移轉
RPQNMLMKNHPFFAU96CA,國光段,64.00,都市：商,全筆移轉
RPQNMLMKNHPFFAU96CA,國光段,3.62,都市：商,持分移轉
RPQNMLMKNHPFFAU96CA,國光段,20.20,都市：商,持分移轉
RPRNMLTJOHPFFAU77CA,嘉南段,169.00,都市：住,全筆移轉
RPPNMLMJOHPFFBU17EA,東興段,4071.63,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPXOMLNJOHPFFAU87CA,平和段,1024.80,都市：農,全筆移轉
RPPPMLOKNHPFFAU47EA,德姆南段,25001.02,非都市：山坡地保育區 ; 非都市編定：林業用地,全筆移轉
