編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVOMLLKNHPFFAB18CA,麻園頭段,28.34,都市：住,持分移轉
RPSOMLMKNHPFFAB97CA,大益段,84.00,都市：住,全筆移轉
RPWNMLNKNHPFFAB38CA,樹子腳段,18.02,都市：住,持分移轉
RPPNMLMKNHPFFAB57CA,後子段,52.00,都市：住,全筆移轉
RPUNMLMKNHPFFAB08CA,半平厝段,23.40,都市：住,持分移轉
RPOPMLNKNHPFFAB77CA,下橋子頭段,7.98,都市：住,持分移轉
RPXOMLOKNHPFFAB68CA,下橋子頭段,4.46,都市：商,持分移轉
RPXOMLOKNHPFFAB68CA,下橋子頭段,3.67,都市：住,持分移轉
RPUOMLOKNHPFFAB38CA,大益段,14.36,都市：住,持分移轉
RPSNMLOKNHPFFAB08CA,下橋子頭段,10.05,都市：住,持分移轉
RPSNMLOKNHPFFAB08CA,下橋子頭段,.11,都市：住,持分移轉
RPWPMLNKNHPFFAB58CA,土庫段,85.00,都市：住,全筆移轉
RPSPMLNKNHPFFAB18CA,後子段,1.15,都市：住,持分移轉
RPSPMLNKNHPFFAB18CA,後子段,1.56,都市：商,持分移轉
RPUPMLPKNHPFFAB58CA,土庫段,92.00,都市：商,全筆移轉
RPROMLSKNHPFFAB48CA,後子段,15.33,都市：住,持分移轉
RPROMLSKNHPFFAB48CA,後子段,9.01,都市：住,持分移轉
RPVOMLTKNHPFFAB98CA,中墩段三小段,3.06,都市：商,持分移轉
RPVOMLTKNHPFFAB98CA,中墩段三小段,1.09,都市：商,持分移轉
RPQNMLNKNHPFFBB87CA,東信段,14.38,都市：住,持分移轉
RPVNMLNKNHPFFBB38CA,和平段,355.36,都市：住,全筆移轉
RPOPMLNKNHPFFBB87CA,仁德段,24.00,都市：其他:道路用地,全筆移轉
RPVRMLLKNHPFFBB58CA,景東段,319.08,都市：住,全筆移轉
SPOPMLNKNHPFFBB97CA,仁德段,137.00,都市：住,全筆移轉
SPOPMLNKNHPFFBB97CA,仁德段,2.00,都市：住,全筆移轉
RPPOMLNKNHPFFBB87CA,陳平段,22.80,都市：住,持分移轉
RPRNMLQKNHPFFAB18CA,後子段,43.15,都市：住,持分移轉
RPUNMLPKNHPFFBB48CA,景美段,21.27,都市：住,持分移轉
RPOQMLPKNHPFFBB18CA,北屯段,18.02,都市：住,持分移轉
RPRNMLRKNHPFFBB38CA,長安段,13.61,都市：住,持分移轉
RPRNMLRKNHPFFBB38CA,長安段,58.00,都市：住,全筆移轉
RPVNMLRLNHPFFAB78CA,下橋子頭段,18.08,都市：住,持分移轉
RPPNMLNJOHPFFAB67CA,東勢子段,33.45,都市：住,持分移轉
RPQNMLQKNHPFFBB18CA,軍福段,216.22,都市：住,全筆移轉
RPQNMLQKNHPFFBB18CA,軍福段,26.76,都市：住,持分移轉
RPXOMLSKNHPFFBB56CA,賴厝段,.46,都市：商,持分移轉
RPXOMLSKNHPFFBB56CA,賴厝段,.20,都市：商,持分移轉
RPXOMLSKNHPFFBB56CA,賴厝段,3.11,都市：商,持分移轉
RPXOMLSKNHPFFBB56CA,賴厝段,.31,都市：住,持分移轉
RPWPMLTKNHPFFBB66CA,昌平段,43.75,都市：住,持分移轉
RPVPMLOKNHPFFBB68CA,軍和段,43.52,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,120.43,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,115.34,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,116.71,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,188.85,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,93.95,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,126.77,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,204.46,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,135.51,都市：住,全筆移轉
RPVPMLOKNHPFFBB68CA,軍和段,93.95,都市：住,全筆移轉
RPTRMLOKNHPFFBB68CA,東正段,21.94,都市：商,持分移轉
RPQNMLTKNHPFFBB48CA,青雲段,85.00,都市：住,全筆移轉
RPSOMLKLNHPFFBB97CA,賴厝段,12.86,都市：住,持分移轉
RPRSMLSKNHPFFBB98CA,崇德段,14.22,都市：商,持分移轉
RPPSMLSKNHPFFBB78CA,崇德段,14.22,都市：商,持分移轉
RPORMLSKNHPFFBB58CA,松竹段,22.20,都市：住,持分移轉
RPOTMLSKNHPFFBB78CA,乾溝子段,41.04,都市：住,持分移轉
RPOTMLSKNHPFFBB78CA,乾溝子段,2.09,都市：其他:道路用地,持分移轉
RPOTMLSKNHPFFBB78CA,乾溝子段,2.32,都市：其他:道路用地,持分移轉
RPOTMLSKNHPFFBB78CA,乾溝子段,.26,都市：其他:道路用地,持分移轉
RPWNMLMLNHPFFBB48CA,軍福段,13.52,都市：商,持分移轉
RPPNMLKMNHPFFBB67CA,長安段,108.00,都市：住,全筆移轉
RPRNMLRLNHPFFBB48CA,乾溝子段,2.00,都市：其他:道路用地,全筆移轉
RPRNMLRLNHPFFBB48CA,乾溝子段,85.00,都市：其他:道路用地,全筆移轉
RPRNMLRLNHPFFBB48CA,乾溝子段,15.00,都市：其他:道路用地,全筆移轉
RPOQMLPLNHPFFBB28CA,錦村段,14.00,都市：住,持分移轉
RPOQMLPLNHPFFBB28CA,錦村段,32.00,都市：住,持分移轉
RPOQMLPLNHPFFBB28CA,錦村段,3.60,都市：住,持分移轉
RPSNMLLLNHPFFBB97CA,賴厝段,3.68,都市：商,持分移轉
RPOQMLLJOHPFFBB77CA,賴厝段,2.98,都市：商,持分移轉
RPOQMLLJOHPFFBB77CA,邱厝子段,2.39,都市：商,持分移轉
RPTNMLLJOHPFFBB97CA,太順段,10.51,都市：住,持分移轉
RPQRMLLLNHPFFBB18CA,軍福段,9.41,都市：商,持分移轉
RPUNMLOJOHPFFBB38CA,大興段,87.93,都市：住,持分移轉
RPORMLOJOHPFFBB18CA,平田段,25.04,都市：住,持分移轉
RPUPMLLJOHPFFBB28CA,邱厝子段,44.84,都市：住,持分移轉
RPSOMLSJOHPFFBB68CA,陳平段,18.78,都市：住,持分移轉
RPROMLNKNHPFFCB18CA,鑫港尾段,162.00,都市：住,持分移轉
RPROMLNKNHPFFCB18CA,鑫港尾段,95.22,都市：住,持分移轉
RPROMLNKNHPFFCB18CA,鑫港尾段,73.62,都市：住,持分移轉
RPXTMLTLNHPFFBB27CA,賴厝段,3.68,都市：商,持分移轉
RPXRMLMKNHPFFCB98CA,民安段,152.65,都市：其他:道路用地,持分移轉
